RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2020-01-03,MARUTI,EQ,7329.85,7328.95,7332,7226,7250.35,7254.25,7275.61,571967,416140704080000,42037,152281,0.2662,AUTOMOBILE
2020-01-03,LT,EQ,1345.3,1344.95,1344.95,1330.15,1335,1335.05,1335.87,2059871,275172834635000,77644,996530,0.4838000000000001,CONSTRUCTION
2020-01-03,ITC,EQ,239.85,241,241,238,238.45,238.5,238.66,9284478,221585310235000,64049,6344169,0.6833,CONSUMER GOODS
2020-01-03,KOTAKBANK,EQ,1671.55,1670.95,1673,1645.55,1659.05,1657.1,1657.75,1594089,264259582275000,83688,845118,0.5302,FINANCIAL SERVICES
2020-01-03,NESTLEIND,EQ,14729.35,14750,14795,14556.1,14586.2,14593.6,14624.11,40000,58496423525000,12777,19845,0.4961,CONSUMER GOODS
2020-01-03,ZEEL,EQ,289.6,289,289,272.3,273.5,273.7,277.75,23061627,640534737600000,180431,5552912,0.2408,MEDIA ENTERTAINMENT & PUBLICATION
2020-01-03,WIPRO,EQ,248.3,249.5,252.7,247.35,251,251.1,250.99,3381404,84868899510000,38677,801622,0.2371,IT
2020-01-03,JSWSTEEL,EQ,276.45,276.45,276.45,270.75,272.2,272.45,273.17,5943349,162353331955000,38332,1042941,0.17550000000000002,METALS
2020-01-03,ULTRACEMCO,EQ,4244.8,4237,4258,4185.85,4218.25,4219.2,4222.2,635983,268524907690000,46789,174945,0.2751,CEMENT & CEMENT PRODUCTS
2020-01-03,M&M,EQ,539.85,538.95,539,530.4,533,532.75,533.82,1930883,103074107355000,30030,698561,0.3618,AUTOMOBILE
2020-01-03,IOC,EQ,127,126.5,127.5,126.15,127,126.85,126.72,8852105,112173635205000,45004,4438644,0.5014000000000001,OIL & GAS
2020-01-03,POWERGRID,EQ,195.1,194.25,194.8,191.25,192.95,193,193.03,4139027,79893811505000,38139,2581533,0.6237,POWER
2020-01-03,TATASTEEL,EQ,484.85,483,486.2,479.45,483.75,483.7,482.61,12956863,625307422640000,124603,1647867,0.1272,METALS
2020-01-03,ONGC,EQ,128.05,131,133.4,128.05,128.1,128.45,130.41,31381588,409247175495000,135658,7628913,0.2431,OIL & GAS
2020-01-03,TCS,EQ,2157.65,2164,2223,2164,2201,2200.65,2199.26,4655761,1023920639020000,123516,1833823,0.3939,IT
2020-01-03,VEDL,EQ,159.45,158.4,160.9,156.7,157.4,157.75,158.62,12108687,192062942670000,52394,1996014,0.1648,METALS
2020-01-03,TECHM,EQ,766.05,766,779.9,763.55,775,775.1,775.14,2121704,164460752820000,54537,881327,0.4154,IT
2020-01-03,UPL,EQ,595.45,591.5,594.2,587.3,591.4,590.75,590.82,1063950,62860780240000,25690,469433,0.4412,FERTILISERS & PESTICIDES
2020-01-03,TITAN,EQ,1155.6,1156,1156,1132,1139.7,1139.7,1142.4,2695237,307902658060000,105909,1017731,0.3776,CONSUMER GOODS
2020-01-03,BRITANNIA,EQ,3053.4,3045,3060,3025.65,3042.8,3038.8,3038.95,168305,51146996015000,16811,73037,0.434,CONSUMER GOODS
2020-01-03,CIPLA,EQ,473.5,475.8,475.8,467.25,470.65,469.95,471.24,2252752,106159246060000,44368,524988,0.233,PHARMA
2020-01-03,COALINDIA,EQ,211.1,210,212.6,207.7,210.65,211.85,210.47,6452638,135809639970000,43299,2147545,0.33280000000000004,METALS
2020-01-03,ASIANPAINT,EQ,1790.65,1779.8,1779.8,1747.05,1750,1751.4,1758.01,1318628,231815681605000.03,66172,466498,0.3538000000000001,CONSUMER GOODS
