Date,TotalOutstanding
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,2.0
2020-02-02,3.0
2020-02-03,3.0
2020-02-04,3.0
2020-02-05,3.0
2020-02-06,3.0
2020-02-07,3.0
2020-02-08,3.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,3.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,3.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,3.0
2020-02-21,3.0
2020-02-22,3.0
2020-02-23,3.0
2020-02-24,3.0
2020-02-25,3.0
2020-02-26,3.0
2020-02-27,3.0
2020-02-28,3.0
2020-02-29,3.0
2020-03-01,3.0
2020-03-02,5.0
2020-03-03,3.0
2020-03-04,25.0
2020-03-05,27.0
2020-03-06,28.0
2020-03-07,31.0
2020-03-08,36.0
2020-03-09,43.0
2020-03-10,55.0
2020-03-11,57.0
2020-03-12,71.0
2020-03-13,77.0
2020-03-14,72.0
2020-03-15,95.0
2020-03-16,99.0
2020-03-17,120.0
2020-03-18,134.0
2020-03-19,149.0
2020-03-20,196.0
2020-03-21,256.0
2020-03-22,329.0
2020-03-23,402.0
2020-03-24,470.0
2020-03-25,553.0
2020-03-26,634.0
2020-03-27,640.0
2020-03-28,810.0
2020-03-29,901.0
2020-03-30,1118.0
2020-03-31,1238.0
2020-04-01,1649.0
2020-04-02,1860.0
2020-04-03,2322.0
2020-04-04,2784.0
2020-04-05,3219.0
2020-04-06,3851.0
2020-04-07,4312.0
2020-04-08,4714.0
2020-04-09,5218.0
2020-04-10,6039.0
2020-04-11,6634.0
2020-04-12,7409.0
2020-04-13,8048.0
2020-04-14,9272.0
2020-04-15,10197.0
2020-04-16,10824.0
2020-04-17,11616.0
2020-04-18,12288.0
2020-04-19,13295.0
2020-04-20,14255.0
2020-04-21,15122.0
2020-04-22,15859.0
2020-04-23,16689.0
2020-04-24,17915.0
2020-04-25,18904.0
2020-04-26,19865.0
2020-04-27,20912.0
2020-04-28,21870.0
2020-04-29,22904.0
2020-04-30,23882.0
2020-05-01,24755.0
2020-05-02,25988.0
2020-05-03,27931.0
2020-05-04,29685.0
2020-05-05,31967.0
2020-05-06,33514.0
2020-05-07,35902.0
2020-05-08,37916.0
2020-05-09,39834.0
2020-05-10,41472.0
2020-05-11,44029.0
2020-05-12,46008.0
2020-05-13,47480.0
2020-05-14,49219.0
2020-05-15,51401.0
2020-05-16,52805.0
2020-05-17,53656.0
2020-05-18,55906.0
2020-05-19,57988.0
2020-05-20,61149.0
2020-05-21,63624.0
2020-05-22,66330.0
2020-05-23,69597.0
2020-05-24,73560.0
2020-05-25,77103.0
2020-05-26,80722.0
2020-05-27,83004.0
